Product_Name,Units_Produced,Units_Sold,Unit_Price,Cost_Per_Unit,Month,Year,Region/Market,Total_Revenue,Total_Cost,Profit,Labor_Cost,Machine_Hours,Defects,Downtime_Hours
Plastic Containers,2430,3149,49.43,4.86,Jun,2023,Kumasi,155655.07,11809.8,143845.27,6112.19,372.3,123,7.5
Plastic Chairs,4082,3551,11.77,18.81,Dec,2024,Cape Coast,41795.27,76782.42,-34987.15,19934.01,172.7,165,36.6
Rubber Mats,1108,4030,31.74,23.58,Aug,2023,Takoradi,127912.2,26126.64,101785.56,19546.28,236.1,177,41.1
Rubber Seals,3772,2789,22.14,6.17,Jan,2023,Accra,61748.46,23273.24,38475.22,13705.86,104.8,62,11.5
Plastic Containers,1647,1931,48.65,3.53,Oct,2024,Accra,93943.15,5813.91,88129.24,5591.76,131.5,115,25.8
Rubber Gloves,4782,3116,42.9,19.05,Aug,2023,Accra,133676.4,91097.1,42579.3,14244.11,356.5,190,42.2
PVC Pipes,3897,1315,42.72,15.21,Nov,2023,Kumasi,56176.8,59273.37,-3096.57,3299.57,131.6,61,36.9
Plastic Containers,3011,1648,26.09,21.36,Jul,2024,Tamale,42996.32,64314.96,-21318.64,2551.75,286.3,6,27.6
Rubber Mats,2294,4911,23.67,5.21,Jan,2024,Cape Coast,116243.37,11951.74,104291.63,6638.29,369.1,154,29.9
Rubber Seals,1159,3387,17.3,20.29,Feb,2024,Takoradi,58595.1,23516.11,35078.99,10327.21,98.1,91,25.9
Plastic Chairs,3311,3139,7.54,6.64,Mar,2025,Takoradi,23668.06,21985.04,1683.02,17628.91,305.3,13,15.6
Rubber Mats,1869,635,43.91,5.76,Jan,2025,Kumasi,27882.85,10765.44,17117.41,15089.04,165.5,198,28.7
Rubber Mats,2486,4892,41.58,5.78,Sep,2024,Accra,203409.36,14369.08,189040.28,15368.72,483.3,85,34.8
PVC Pipes,646,1195,49.99,20.74,Aug,2024,Kumasi,59738.05,13398.04,46340.01,9658.88,267.6,132,43.8
Polyethylene Sheets,3719,3846,49.85,17.3,Feb,2024,Tamale,191723.1,64338.7,127384.4,8226.83,412.7,182,32.2
Rubber Seals,3411,1151,29.99,14.03,Sep,2025,Tamale,34518.49,47856.33,-13337.84,8678.7,297.6,129,38.3
Rubber Tubes,2234,1987,39.6,10.25,Jul,2025,Cape Coast,78685.2,22898.5,55786.7,19777.69,69.5,61,8.8
Rubber Mats,2343,2231,47.51,22.18,Sep,2023,Cape Coast,105994.81,51967.74,54027.07,2721.97,334.9,148,23.6
Polyethylene Sheets,988,4046,43.23,11.03,Jun,2023,Tamale,174908.58,10897.64,164010.94,17606.57,478.1,78,1.5
