Product_Name,Units_Produced,Units_Sold,Unit_Price,Cost_Per_Unit,Month_Year,Region_Market,Total_Revenue,Total_Cost,Profit
Linen Fabric,1363,1366,34.46,40.22,Jan-2024,Eastern,47072.36,54819.86,-7747.5
Cotton Fabric,3290,2974,84.04,18.93,Jan-2024,Western,249934.96,62279.7,187655.26
Polyester Fabric,1063,2182,21.48,29.86,Jan-2024,Greater Accra,46869.36,31741.18,15128.18
Linen Fabric,4691,1053,80.93,35.42,Jan-2024,Western,85219.29,166155.22,-80935.93
Tie & Dye,2257,4346,27.32,55.21,Jan-2024,Western,118732.72,124608.97,-5876.25
Batakari Cloth,2178,3936,35.45,49.95,Jan-2024,Eastern,139531.2,108791.1,30740.1
Polyester Fabric,3742,3969,35.28,34.93,Jan-2024,Northern,140026.32,130708.06,9318.26
Polyester Fabric,1559,774,104.4,79.06,Jan-2024,Ashanti,80805.6,123254.54,-42448.94
Linen Fabric,2222,3461,116.99,52.4,Jan-2024,Greater Accra,404902.39,116432.8,288469.59
Wax Print,3814,1348,95.84,26.61,Jan-2024,Eastern,129192.32,101490.54,27701.78
Tie & Dye,3657,1915,145.08,17.12,Jan-2024,Northern,277828.2,62607.84,215220.36
Linen Fabric,3125,4977,68.73,20.7,Jan-2024,Ashanti,342069.21,64687.5,277381.71
Tie & Dye,3229,4054,57.14,27.22,Jan-2024,Ashanti,231645.56,87893.38,143752.18
Tie & Dye,2097,2691,132.92,21.25,Jan-2024,Eastern,357687.72,44561.25,313126.47
Batakari Cloth,3560,2860,49.07,23.06,Jan-2024,Volta,140340.2,82093.6,58246.6
Polyester Fabric,3193,3324,145.22,29.96,Jan-2024,Greater Accra,482711.28,95662.28,387049.0
Cotton Fabric,4127,3251,21.58,22.14,Jan-2024,Ashanti,70156.58,91371.78,-21215.2
Batakari Cloth,1863,204,146.08,72.77,Jan-2024,Eastern,29800.32,135570.51,-105770.19
Batakari Cloth,2481,1076,25.61,15.62,Jan-2024,Eastern,27556.36,38753.22,-11196.86
Tie & Dye,2163,1191,135.85,46.72,Jan-2024,Northern,161797.35,101055.36,60741.99
Embroidery Fabric,2029,4342,88.6,38.73,Jan-2024,Volta,384701.2,78583.17,306118.03
Polyester Fabric,2538,4564,149.09,78.77,Jan-2024,Greater Accra,680446.76,199918.26,480528.5
Wax Print,3802,4665,29.59,17.84,Jan-2024,Western,138037.35,67827.68,70209.67
Batakari Cloth,2737,835,92.0,37.85,Jan-2024,Northern,76820.0,103595.45,-26775.45
Cotton Fabric,1806,1893,146.01,77.86,Jan-2024,Ashanti,276396.93,140615.16,135781.77
Embroidery Fabric,4529,1882,88.0,70.59,Jan-2024,Ashanti,165616.0,319702.11,-154086.11
Embroidery Fabric,3175,4952,101.82,67.2,Jan-2024,Northern,504212.64,213360.0,290852.64
Wax Print,1782,319,110.45,28.05,Jan-2024,Eastern,35233.55,49985.1,-14751.55
Batakari Cloth,1209,1030,79.09,21.96,Jan-2024,Ashanti,81462.7,26549.64,54913.06
Cotton Fabric,4913,3875,101.58,56.81,Jan-2024,Volta,393622.5,279107.53,114514.97
Polyester Fabric,4248,1569,95.96,75.06,Jan-2024,Greater Accra,150561.24,318854.88,-168293.64
Kente Cloth,1163,940,137.15,48.97,Feb-2024,Volta,128921.0,56952.11,71968.89
Cotton Fabric,2498,316,25.91,50.01,Feb-2024,Ashanti,8187.56,124924.98,-116737.42
Wax Print,3945,3038,56.53,29.6,Feb-2024,Western,171738.14,116772.0,54966.14
Embroidery Fabric,4243,1350,143.55,63.86,Feb-2024,Greater Accra,193792.5,270957.98,-77165.48
Polyester Fabric,1995,2131,135.73,23.09,Feb-2024,Greater Accra,289240.63,46064.55,243176.08
Cotton Fabric,3804,1212,79.24,32.66,Feb-2024,Northern,96038.88,124238.64,-28199.76
Kente Cloth,4263,1864,100.62,39.78,Feb-2024,Northern,187555.68,169582.14,17973.54
Kente Cloth,2353,1281,56.06,45.53,Feb-2024,Western,71812.86,107132.09,-35319.23
Tie & Dye,1791,4929,44.46,26.97,Feb-2024,Eastern,219143.34,48303.27,170840.07
Tie & Dye,4081,712,80.28,18.04,Feb-2024,Greater Accra,57159.36,73621.24,-16461.88
Linen Fabric,3957,3049,65.94,52.74,Feb-2024,Western,201051.06,208692.18,-7641.12
Wax Print,2136,759,95.88,30.2,Feb-2024,Northern,72772.92,64507.2,8265.72
Batakari Cloth,4196,3872,30.11,50.69,Feb-2024,Northern,116585.92,212695.24,-96109.32
Cotton Fabric,3499,4783,146.67,20.81,Feb-2024,Greater Accra,701522.61,72814.19,628708.42
Cotton Fabric,3652,3543,148.21,43.68,Feb-2024,Volta,525108.03,159519.36,365588.67
Batakari Cloth,1198,4270,110.76,47.28,Feb-2024,Ashanti,472945.2,56641.44,416303.76
Linen Fabric,2660,4999,89.69,13.63,Feb-2024,Northern,448360.31,36255.8,412104.51
Embroidery Fabric,4597,1670,60.24,33.56,Feb-2024,Eastern,100600.8,154275.32,-53674.52
Embroidery Fabric,1354,780,125.79,19.41,Feb-2024,Eastern,98116.2,26281.14,71835.06
Linen Fabric,3974,2494,109.02,14.44,Feb-2024,Northern,271895.88,57384.56,214511.32
